,state,month_number,new_cases
734,IL,38,42433
735,IL,39,46795
736,IL,40,22821
737,IL,41,4843
738,IN,1,0
739,IN,2,0
740,IN,3,479
741,IN,4,16692
742,IN,5,15262
743,IN,6,10705
744,IN,7,21158
745,IN,8,25066
746,IN,9,30660
747,IN,10,49090
748,IN,11,143409
749,IN,12,192499
750,IN,13,112156
751,IN,14,40869
752,IN,15,28448
753,IN,16,31070
754,IN,17,24136
755,IN,18,12229
756,IN,19,14697
757,IN,20,65343
758,IN,21,127036
759,IN,22,56788
760,IN,23,66696
761,IN,24,150431
762,IN,25,339888
763,IN,26,103821
764,IN,27,12415
765,IN,28,9727
766,IN,29,27048
767,IN,30,44365
768,IN,31,51113
769,IN,32,72503
770,IN,33,26194
771,IN,34,15572
772,IN,35,28192
773,IN,36,37003
774,IN,37,22209
775,IN,38,18100
776,IN,39,17361
777,IN,40,12000
778,IN,41,3896
779,KS,1,0
780,KS,2,0
781,KS,3,133
782,KS,4,3648
783,KS,5,5419
784,KS,6,3510
785,KS,7,13782
786,KS,8,13220
787,KS,9,21130
788,KS,10,22235
789,KS,11,65989
790,KS,12,75008
791,KS,13,49745
792,KS,14,20320
793,KS,15,8696
794,KS,16,6018
795,KS,17,5132
796,KS,18,4413
797,KS,19,10757
798,KS,20,33511
799,KS,21,46479
800,KS,22,23871
801,KS,23,28344
802,KS,24,58527
803,KS,25,190155
804,KS,26,54221
805,KS,27,5799
806,KS,28,3872
807,KS,29,12061
808,KS,30,21043
809,KS,31,27935
810,KS,32,29547
811,KS,33,13954
812,KS,34,8626
813,KS,35,14350
814,KS,36,15306
815,KS,37,9266
816,KS,38,8157
817,KS,39,7565
818,KS,40,3208
819,KS,41,971
820,KY,1,0
821,KY,2,0
822,KY,3,194
823,KY,4,4328
824,KY,5,4551
825,KY,6,5290
826,KY,7,14360
827,KY,8,16514
828,KY,9,23604
829,KY,10,32655
830,KY,11,64644
831,KY,12,98689
832,KY,13,97692
833,KY,14,44253
834,KY,15,22136
835,KY,16,14812
836,KY,17,11459
837,KY,18,6444
838,KY,19,16801
839,KY,20,83091
840,KY,21,139982
841,KY,22,45170
842,KY,23,36926
843,KY,24,88882
844,KY,25,311128
845,KY,26,129940
846,KY,27,17726
847,KY,28,5440
848,KY,29,25477
849,KY,30,48654
850,KY,31,63095
851,KY,32,87069
852,KY,33,34920
853,KY,34,17693
854,KY,35,26494
855,KY,36,28534
856,KY,37,25664
857,KY,38,22792
858,KY,39,16480
859,KY,40,7178
860,KY,41,2356
861,LA,1,0
862,LA,2,0
863,LA,3,1796
864,LA,4,25864
865,LA,5,10826
866,LA,6,13991
867,LA,7,60296
868,LA,8,32949
869,LA,9,21733
870,LA,10,18375
871,LA,11,39809
872,LA,12,85591
873,LA,13,81184
874,LA,14,34516
875,LA,15,17944
876,LA,16,12477
877,LA,17,12491
878,LA,18,11630
879,LA,19,50480
880,LA,20,139285
881,LA,21,68424
882,LA,22,18078
883,LA,23,11312
884,LA,24,47177
885,LA,25,328976
886,LA,26,78779
887,LA,27,8229
888,LA,28,5064
889,LA,29,17319
890,LA,30,50904
891,LA,31,66635
892,LA,32,58877
893,LA,33,23439
894,LA,34,6983
895,LA,35,11659
896,LA,36,19624
897,LA,37,24163
898,LA,38,23322
899,LA,39,14568
900,LA,40,7862
901,LA,41,3540
902,MA,1,1
903,MA,2,1
904,MA,3,4361
905,MA,4,60451
906,MA,5,30790
907,MA,6,7764
908,MA,7,7761
909,MA,8,8345
910,MA,9,12663
911,MA,10,22101
912,MA,11,60356
913,MA,12,153324
914,MA,13,141585
915,MA,14,64382
916,MA,15,61695
917,MA,16,50663
918,MA,17,19784
919,MA,18,3939
920,MA,19,7978
921,MA,20,32304
922,MA,21,60071
923,MA,22,38628
924,MA,23,55460
925,MA,24,191418
926,MA,25,484780
927,MA,26,86017
928,MA,27,30543
929,MA,28,52611
930,MA,29,105724
931,MA,30,67147
932,MA,31,33197
933,MA,32,49406
934,MA,33,35352
935,MA,34,46036
936,MA,35,28911
937,MA,36,39337
938,MA,37,38696
939,MA,38,23288
940,MA,39,15787
941,MA,40,7093
942,MA,41,2426
943,MD,1,0
944,MD,2,0
945,MD,3,425
946,MD,4,20425
947,MD,5,27576
948,MD,6,16912
949,MD,7,20952
950,MD,8,19196
951,MD,9,19240
952,MD,10,17699
953,MD,11,45736
954,MD,12,85528
955,MD,13,72870
956,MD,14,31931
957,MD,15,32854
958,MD,16,34149
959,MD,17,13386
960,MD,18,3400
961,MD,19,4652
962,MD,20,22999
963,MD,21,40931
964,MD,22,27062
965,MD,23,22573
966,MD,24,111765
967,MD,25,272840
968,MD,26,34128
969,MD,27,12269
970,MD,28,17255
971,MD,29,49369
972,MD,30,54683
973,MD,31,42712
974,MD,32,47594
975,MD,33,25210
976,MD,34,17654
977,MD,35,22333
978,MD,36,26663
979,MD,37,27111
980,MD,38,17033
981,MD,39,12226
982,MD,40,5811
983,MD,41,2233
984,ME,1,0
985,ME,2,0
986,ME,3,142
987,ME,4,912
988,ME,5,1082
989,ME,6,882
990,ME,7,847
991,ME,8,523
992,ME,9,1001
993,ME,10,997
994,ME,11,4641
995,ME,12,13174
996,ME,13,14253
997,ME,14,5664
998,ME,15,6670
999,ME,16,10157
1000,ME,17,6479
1001,ME,18,1630
1002,ME,19,1208
1003,ME,20,4441
1004,ME,21,15286
1005,ME,22,12480
1006,ME,23,16020
1007,ME,24,27140
1008,ME,25,25895
1009,ME,26,51401
1010,ME,27,12865
1011,ME,28,7802
1012,ME,29,17995
1013,ME,30,8339
1014,ME,31,5556
1015,ME,32,7665
1016,ME,33,5919
1017,ME,34,7680
1018,ME,35,4814
1019,ME,36,4424
1020,ME,37,4918
1021,ME,38,4166
1022,ME,39,5610
1023,ME,40,1770
1024,ME,41,534
1025,MI,1,0
1026,MI,2,0
1027,MI,3,2465
1028,MI,4,39908
1029,MI,5,18217
1030,MI,6,7966
1031,MI,7,20413
1032,MI,8,20515
1033,MI,9,28526
1034,MI,10,47926
1035,MI,11,166497
1036,MI,12,176160
1037,MI,13,75634
1038,MI,14,37041
1039,MI,15,105083
1040,MI,16,182056
1041,MI,17,61592
1042,MI,18,9962
1043,MI,19,8467
1044,MI,20,41725
1045,MI,21,99911
1046,MI,22,115317
1047,MI,23,181849
1048,MI,24,263095
1049,MI,25,493321
1050,MI,26,146822
1051,MI,27,37029
1052,MI,28,38449
1053,MI,29,101885
1054,MI,30,78600
1055,MI,31,65881
1056,MI,32,98047
1057,MI,33,65808
1058,MI,34,50009
1059,MI,35,52267
1060,MI,36,50211
1061,MI,37,35821
1062,MI,38,25264
1063,MI,39,34375
1064,MI,40,16900
1065,MI,41,5348
1066,MN,1,0
1067,MN,2,0
1068,MN,3,283
1069,MN,4,4356
1070,MN,5,17754
1071,MN,6,11307
1072,MN,7,19112
1073,MN,8,18292
1074,MN,9,27919
1075,MN,10,40209
1076,MN,11,149527
1077,MN,12,123618
1078,MN,13,44236
1079,MN,14,23672
1080,MN,15,38733
1081,MN,16,52427
1082,MN,17,27842
1083,MN,18,5672
1084,MN,19,6142
1085,MN,20,28958
1086,MN,21,67849
1087,MN,22,73450
1088,MN,23,109584
1089,MN,24,124276
1090,MN,25,264635
1091,MN,26,129908
1092,MN,27,19097
1093,MN,28,19945
1094,MN,29,51659
1095,MN,30,52330
1096,MN,31,37726
1097,MN,32,48645
1098,MN,33,25600
1099,MN,34,21238
1100,MN,35,27077
1101,MN,36,21563
1102,MN,37,18248
1103,MN,38,17103
1104,MN,39,16699
1105,MN,40,6641
1106,MN,41,2439
1107,MO,1,0
1108,MO,2,0
1109,MO,3,417
1110,MO,4,7179
1111,MO,5,5318
1112,MO,6,6843
1113,MO,7,29099
1114,MO,8,30984
1115,MO,9,53291
1116,MO,10,51868
1117,MO,11,118512
1118,MO,12,126789
1119,MO,13,82307
1120,MO,14,32785
1121,MO,15,21385
1122,MO,16,17299
1123,MO,17,14064
1124,MO,18,22078
1125,MO,19,54401
1126,MO,20,73622
1127,MO,21,72501
1128,MO,22,32574
1129,MO,23,38163
1130,MO,24,105935
1131,MO,25,298597
1132,MO,26,90741
1133,MO,27,18496
1134,MO,28,13832
1135,MO,29,26902
1136,MO,30,57061
1137,MO,31,57419
1138,MO,32,53770
1139,MO,33,32666
1140,MO,34,19408
1141,MO,35,26770
1142,MO,36,30397
1143,MO,37,21096
1144,MO,38,15963
1145,MO,39,17362
1146,MO,40,9367
1147,MO,41,3502
1148,MP,1,0
1149,MP,2,0
1150,MP,3,0
1151,MP,4,14
1152,MP,5,8
1153,MP,6,8
1154,MP,7,10
1155,MP,8,14
1156,MP,9,16
1157,MP,10,22
1158,MP,11,12
1159,MP,12,18
1160,MP,13,10
1161,MP,14,11
1162,MP,15,16
1163,MP,16,5
1164,MP,17,17
1165,MP,18,2
1166,MP,19,7
1167,MP,20,39
1168,MP,21,39
1169,MP,22,23
1170,MP,23,313
1171,MP,24,2481
1172,MP,25,1479
1173,MP,26,4701
1174,MP,27,1800
1175,MP,28,198
1176,MP,29,70
1177,MP,30,496
1178,MP,31,744
1179,MP,32,547
1180,MP,33,51
1181,MP,34,38
1182,MP,35,18
1183,MP,36,108
1184,MP,37,174
1185,MP,38,128
1186,MP,39,150
1187,MP,40,64
1188,MP,41,35
1189,MS,1,0
1190,MS,2,0
1191,MS,3,377
1192,MS,4,6188
1193,MS,5,7485
1194,MS,6,9384
1195,MS,7,32370
1196,MS,8,24294
1197,MS,9,18093
1198,MS,10,19426
1199,MS,11,28019
1200,MS,12,67419
1201,MS,13,55617
1202,MS,14,23220
1203,MS,15,13254
1204,MS,16,6213
1205,MS,17,5705
1206,MS,18,4700
1207,MS,19,18190
1208,MS,20,80220
1209,MS,21,67119
1210,MS,22,16373
1211,MS,23,8966
1212,MS,24,26220
1213,MS,25,166746
1214,MS,26,82341
1215,MS,27,6488
1216,MS,28,2822
1217,MS,29,8551
1218,MS,30,26412
1219,MS,31,40053
1220,MS,32,40784
1221,MS,33,14416
1222,MS,34,5600
1223,MS,35,6958
1224,MS,36,15122
1225,MS,37,19342
1226,MS,38,12618
1227,MS,39,7208
1228,MS,40,4314
1229,MS,41,1788
1230,MT,1,0
1231,MT,2,0
1232,MT,3,65
1233,MT,4,386
1234,MT,5,30
1235,MT,6,284
1236,MT,7,2908
1237,MT,8,3114
1238,MT,9,6285
1239,MT,10,16896
1240,MT,11,28600
1241,MT,12,22657
1242,MT,13,11314
1243,MT,14,6698
1244,MT,15,5304
1245,MT,16,3941
1246,MT,17,2973
1247,MT,18,2297
1248,MT,19,2137
1249,MT,20,8388
1250,MT,21,25547
1251,MT,22,24260
1252,MT,23,15594
1253,MT,24,7382
1254,MT,25,35996
1255,MT,26,31218
1256,MT,27,8268
1257,MT,28,1240
1258,MT,29,3715
1259,MT,30,9646
1260,MT,31,9455
1261,MT,32,8962
1262,MT,33,5171
1263,MT,34,3833
1264,MT,35,4459
1265,MT,36,4031
1266,MT,37,2698
1267,MT,38,2915
1268,MT,39,3240
1269,MT,40,1601
1270,MT,41,451
1271,NC,1,0
1272,NC,2,0
1273,NC,3,661
1274,NC,4,10044
1275,NC,5,14877
1276,NC,6,31953
1277,NC,7,63296
1278,NC,8,43183
1279,NC,9,48614
1280,NC,10,56137
1281,NC,11,84203
1282,NC,12,194854
1283,NC,13,196939
1284,NC,14,103053
1285,NC,15,59513
1286,NC,16,49959
1287,NC,17,31174
1288,NC,18,14935
1289,NC,19,35729
1290,NC,20,141750
1291,NC,21,214108
1292,NC,22,73899
1293,NC,23,49482
1294,NC,24,155857
1295,NC,25,726794
1296,NC,26,204436
1297,NC,27,28558
1298,NC,28,30516
1299,NC,29,90467
1300,NC,30,112228
1301,NC,31,115912
1302,NC,32,137691
1303,NC,33,78045
1304,NC,34,38573
1305,NC,35,37903
1306,NC,36,41471
1307,NC,37,95728
1308,NC,38,47053
1309,NC,39,26056
1310,NC,40,11179
1311,NC,41,4574
1312,ND,1,0
1313,ND,2,0
1314,ND,3,45
1315,ND,4,988
1316,ND,5,1405
1317,ND,6,923
